,parameter,fraction,units,method_speciation,num_decimal_places,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,strata,type,use,water_type,pollutant,standard_type,narrative,wqs_threshold,statistic,min_n,block,direction,threshold,threshold_units,summarize_rows,summarize_rows_operator,num_rows_to_summarize,aggregate_parameter,wqs_75p_threshold_formula,wqs_75p_threshold
65,ammonia,total,ug/l,as N,1,a,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
66,ammonia,total,ug/l,as N,1,a,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
67,ammonia,total,ug/l,as N,1,a-special,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
68,ammonia,total,ug/l,as N,1,a-special,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
69,ammonia,total,ug/l,as N,1,aa,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
70,ammonia,total,ug/l,as N,1,aa,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
71,ammonia,total,ug/l,as N,1,aa-special,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
72,ammonia,total,ug/l,as N,1,aa-special,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
73,ammonia,total,ug/l,as N,1,c(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
74,ammonia,total,ug/l,as N,1,c(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
75,ammonia,total,ug/l,as N,1,b(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
76,ammonia,total,ug/l,as N,1,b(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
77,ammonia,total,ug/l,as N,1,a(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
78,ammonia,total,ug/l,as N,1,a(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
79,ammonia,total,ug/l,as N,1,a-special(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
80,ammonia,total,ug/l,as N,1,a-special(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
